slug,old_url,new_slug,new_url,category,hub,file_path,content_length
"0-25-tbsp-peanut-butter-to-grams","https://www.airfryerrecipe.co.uk/blog/0-25-tbsp-peanut-butter-to-grams","conversions/tablespoons-to-grams/0-25-tbsp-peanut-butter-to-grams","https://www.airfryerrecipe.co.uk/blog/conversions/tablespoons-to-grams/0-25-tbsp-peanut-butter-to-grams","conversions","tablespoons-to-grams","src\content\blog\0-25-tbsp-peanut-butter-to-grams.md",10649
"0-25-tbsp-quinoa-to-grams","https://www.airfryerrecipe.co.uk/blog/0-25-tbsp-quinoa-to-grams","conversions/tablespoons-to-grams/0-25-tbsp-quinoa-to-grams","https://www.airfryerrecipe.co.uk/blog/conversions/tablespoons-to-grams/0-25-tbsp-quinoa-to-grams","conversions","tablespoons-to-grams","src\content\blog\0-25-tbsp-quinoa-to-grams.md",10914
"0-25-tbsp-wholemeal-flour-to-grams","https://www.airfryerrecipe.co.uk/blog/0-25-tbsp-wholemeal-flour-to-grams","conversions/tablespoons-to-grams/0-25-tbsp-wholemeal-flour-to-grams","https://www.airfryerrecipe.co.uk/blog/conversions/tablespoons-to-grams/0-25-tbsp-wholemeal-flour-to-grams","conversions","tablespoons-to-grams","src\content\blog\0-25-tbsp-wholemeal-flour-to-grams.md",10642
"0-3-kg-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-3-kg-to-pounds","conversions/kg-to-pounds/0-3-kg-to-pounds","https://www.airfryerrecipe.co.uk/blog/conversions/kg-to-pounds/0-3-kg-to-pounds","conversions","kg-to-pounds","src\content\blog\0-3-kg-to-pounds.md",15403
"0-33-cup-almond-butter-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-33-cup-almond-butter-to-ounces","conversions/cups-to-ounces/0-33-cup-almond-butter-to-ounces","https://www.airfryerrecipe.co.uk/blog/conversions/cups-to-ounces/0-33-cup-almond-butter-to-ounces","conversions","cups-to-ounces","src\content\blog\0-33-cup-almond-butter-to-ounces.md",9472
"0-33-cup-balsamic-vinegar-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-33-cup-balsamic-vinegar-to-ounces","conversions/cups-to-ounces/0-33-cup-balsamic-vinegar-to-ounces","https://www.airfryerrecipe.co.uk/blog/conversions/cups-to-ounces/0-33-cup-balsamic-vinegar-to-ounces","conversions","cups-to-ounces","src\content\blog\0-33-cup-balsamic-vinegar-to-ounces.md",10814
"0-33-cup-chopped-spinach-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-33-cup-chopped-spinach-to-ounces","conversions/cups-to-ounces/0-33-cup-chopped-spinach-to-ounces","https://www.airfryerrecipe.co.uk/blog/conversions/cups-to-ounces/0-33-cup-chopped-spinach-to-ounces","conversions","cups-to-ounces","src\content\blog\0-33-cup-chopped-spinach-to-ounces.md",9999
"0-33-cup-chopped-tomatoes-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-33-cup-chopped-tomatoes-to-ounces","conversions/cups-to-ounces/0-33-cup-chopped-tomatoes-to-ounces","https://www.airfryerrecipe.co.uk/blog/conversions/cups-to-ounces/0-33-cup-chopped-tomatoes-to-ounces","conversions","cups-to-ounces","src\content\blog\0-33-cup-chopped-tomatoes-to-ounces.md",9959
"0-33-cup-chopped-walnuts-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-33-cup-chopped-walnuts-to-ounces","conversions/cups-to-ounces/0-33-cup-chopped-walnuts-to-ounces","https://www.airfryerrecipe.co.uk/blog/conversions/cups-to-ounces/0-33-cup-chopped-walnuts-to-ounces","conversions","cups-to-ounces","src\content\blog\0-33-cup-chopped-walnuts-to-ounces.md",10868
"0-33-cup-condensed-milk-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-33-cup-condensed-milk-to-ounces","conversions/cups-to-ounces/0-33-cup-condensed-milk-to-ounces","https://www.airfryerrecipe.co.uk/blog/conversions/cups-to-ounces/0-33-cup-condensed-milk-to-ounces","conversions","cups-to-ounces","src\content\blog\0-33-cup-condensed-milk-to-ounces.md",10487
